MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
13673,Germany,Serbia,"3
:
2","27-25
25-27
18-25
28-26
18-16",60,71,16,9,9,10,31,29,116,119,81,80,102,96,141,138
13674,Bulgaria,Poland,"0
:
3","19-25
19-25
23-25",36,44,8,4,2,6,15,21,61,75,43,53,64,49,84,82
13675,Canada,Italy,"0
:
3","21-25
18-25
19-25",27,47,9,7,0,3,22,18,58,75,30,34,61,52,82,77
13676,Brazil,China,"0
:
3","23-25
29-31
23-25",47,43,6,9,4,4,18,25,75,81,38,28,68,64,87,77
13677,Iran,Japan,"0
:
3","20-25
14-25
19-25",27,39,3,6,4,10,19,20,53,75,32,41,62,41,72,69
13678,Netherlands,Australia,"3
:
0","25-20
25-15
25-23",37,34,6,4,9,1,23,19,75,58,30,30,45,57,66,62
13679,France,Poland,"1
:
3","25-21
22-25
21-25
22-25",50,47,6,10,9,7,25,32,90,96,61,63,81,70,103,96
13680,Argentina,Italy,"1
:
3","20-25
21-25
25-16
28-30",51,48,9,13,2,7,32,28,94,96,81,73,73,74,113,112
13681,Bulgaria,Canada,"2
:
3","18-25
18-25
26-24
25-21
11-15",52,66,9,14,7,7,30,23,98,110,53,60,89,85,112,116
13682,Slovenia,Netherlands,"0
:
3","17-25
21-25
24-26",35,38,8,5,2,9,17,24,62,76,44,44,64,47,81,74
13683,Argentina,Japan,"1
:
3","25-27
18-25
25-17
16-25",49,56,5,6,1,9,29,23,84,94,46,61,73,67,89,106
13684,Australia,Canada,"1
:
3","25-18
26-28
19-25
22-25",54,53,7,7,8,7,23,29,92,96,44,22,78,77,108,104
13685,Iran,Bulgaria,"0
:
3","19-25
23-25
24-26",39,44,5,8,1,6,21,18,66,76,17,19,64,57,76,77
13687,Germany,Italy,"0
:
3","16-25
21-25
22-25",33,35,4,12,3,4,19,24,59,75,33,38,61,43,75,59
13688,Brazil,Poland,"1
:
3","16-25
25-22
16-25
22-25",48,48,5,7,1,13,25,29,79,97,42,34,80,63,111,99
